Traceability_Map;Dim_Max_mm;Temp_HT;Time_HT;Yield_strength;UTS_Min;Hardness_HB;C_Mean;Cr_Mean;Di_Mean;Mn_Mean;Mo_Mean;Ni_Mean;P_Mean;S_Mean;Si_Mean;Na2O_Pct;MgO_Pct;Al2O3_Pct;SiO2_Pct;P2O5_Pct;SO3_Pct;Cl_Pct;K2O_Pct;CaO_Pct;TiO2_Pct;Cr2O3_Pct;MnO_Pct;Fe2O3_Pct;ZnO_Pct;Rb2O_Pct;SrO_Pct;ZrO2_Pct;BaO_Pct
100Cr6_IC_803D_SA_a_Basalt;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;0.4117266103342012;1.5654860326061053;0.6241617537416153;-0.014222723428097462;1.1071174366929244;-0.3217632945128369;-0.2969699604377523;-0.6316758242142309;-0.40270733626483096;2.0807441583315573;0.4762701818201642;1.4750478272975334;1.8572074142489425;1.4100261140109058;-0.8334190767256117;0.41390089176921885;0.4782481745316741;-0.9710340790651312
100Cr6_IC_803D_SA_b_Granite_a;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;0.8637218911402106;-1.008302565778582;0.2848169548009775;0.7679510890305862;-0.7300731035892605;-0.7573380600105637;-0.04242428006253655;1.28785631402298;-0.5731213766370035;-0.7476867578868204;0.42972912170744454;-0.41969592876145323;-0.6625732979163227;0.31130446672968054;1.2985832125724646;-1.2584259436619698;-0.6339568825187315;-0.9710340790651312
100Cr6_IC_803D_SA_c_Granite_b;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;0.20627420996783327;-0.5251538305226191;0.46476337311722815;0.5864442179316257;0.4466894646960606;-0.6870840655754465;-0.12727284018760848;1.433573358401901;-0.5325876999983937;-0.3233414464404807;0.6158933621583226;-0.19558645223834736;-0.2947654011435235;-1.3367780041921573;2.0738567723172197;0.20486003734032038;1.3680122201719989;1.5065647597539833
100Cr6_IC_803D_SA_d_Granite_c;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;-0.3099249459526661;1.6856722851573398;0.8235985901626485;-0.08613408947881572;2.1878177545059745;1.645348549670446;0.29696996043775054;-0.4637734858814252;-0.3561057439617586;1.6644662482435133;1.4536324441872757;1.8825196027940896;1.7197738184117948;0.8606652903702934;0.13567287295533215;1.70995418922839;0.5894686802367148;0.7217353139168724
100Cr6_IC_803D_SA_e_Granite_d;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;0.603824604676755;-0.7829533422450172;0.744579298156436;0.5494438637142993;-0.3878513362817946;-0.3498648922868838;-2.587881083814692;1.5318945475157064;-0.5565896775156011;-0.4298311443699804;-0.780338441223265;-0.3993223399866254;-0.30218088293329765;0.6775450158234223;0.7171280427638984;-0.8403442348041725;0.5894686802367148;0.5832359999456177
100Cr6_IC_803D_SA_f_Marble_YPX;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;-1.497953451071189;-0.7438928101658661;-2.051766890086359;-1.91871528845013;-0.9942442923880058;-0.42011888672200104;0.4666670806878944;-1.1288280932717276;2.041988463661968;-0.9445313510292288;-1.602563836547978;-1.2346394797545657;-1.04051568646848;-1.3367780041921573;-0.8334190767256117;0.8319826006270161;-1.5237209281590562;-0.9710340790651312
100Cr6_IC_803D_SA_g_Marble;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;-1.497953451071189;-0.4638588417214896;-1.8514235225906845;-1.8629868288640743;-1.0482793082786583;-0.4763220822700948;1.4848498021887564;-1.0537006205642558;1.9471941367260308;-0.9445313510292288;-1.602563836547978;-1.2346394797545657;-1.0177748756465057;-1.3367780041921573;-0.8334190767256117;-0.33864618417481596;-1.5237209281590562;-0.9710340790651312
100Cr6_IC_803D_SA_h_Sandstone_green;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;0.08043461474343286;0.965756632375445;0.4331858740172312;0.4134846565851284;0.3746427768418572;-0.5325252778181887;-0.12727284018760848;-0.2565426719030975;-0.4792439791792518;0.24783056972683573;-0.1908183464621502;0.6193570987547652;0.610170559935252;0.8606652903702934;-0.8334190767256117;1.2500643094848134;1.2567917144669585;1.1987885064845278
100Cr6_IC_803D_SA_i_Sandstone_purple;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;1.8801976419528161;0.30833783092019224;0.5008735275904306;0.4616914835890171;-0.02161400635626095;-0.3779664900609307;0.8060613211881821;0.19422216434173203;-0.5163526545316983;-0.20071694579439014;1.143358710102478;0.17113814570855343;-0.2072627160241882;-0.6042969060046738;-0.05814551698085661;-0.631303380375274;0.14458665741655247;0.8448458152246544
100Cr6_IC_803D_SA_j_Sandstone_white;1.7472216904199964;2.8618780115475593;4.513468071980098;-0.5736265162741366;-0.38797594788876294;-0.4599343727201542;1.8836843834364296;0.4123700156753485;;-1.327318926342634;-0.5656028641595757;-0.3486834442367125;-0.11182826727603204;-0.11988965059063676;-0.10358846593666526;-0.740347724720207;-1.001091390625508;0.027211041090475792;1.1030436193704622;-0.9342053858428365;2.277634499586501;0.1272728401876067;-0.9130256884475808;-0.5724741322994608;-0.4024019797517759;0.05740064080568764;-0.6641789940593871;-0.662078932463671;0.49442474127655156;-0.8334190767256117;-1.342042285433529;-0.7451773882237721;-0.9710340790651312
